Date,Close,High,Low,Open,Volume
2025-05-01,96.6500015258789,100.0999984741211,96.44999694824219,99.2699966430664,29591500
2025-05-02,98.80000305175781,99.87999725341797,98.30000305175781,98.4000015258789,29957900
2025-05-05,100.58999633789062,102.05000305175781,98.76000213623047,99.0,41268900
2025-05-06,98.62000274658203,100.06999969482422,97.44000244140625,98.41000366210938,54264300
2025-05-07,100.36000061035156,103.41999816894531,96.87999725341797,100.75,86474400
2025-05-08,101.69999694824219,105.44000244140625,101.55999755859375,101.91999816894531,54231400
2025-05-09,102.83999633789062,103.54000091552734,101.5999984741211,102.58999633789062,31704300
2025-05-12,108.12000274658203,110.66999816894531,106.9800033569336,110.41999816894531,50543400
2025-05-13,112.45999908447266,113.12999725341797,109.0,109.5999984741211,55659500
2025-05-14,117.72000122070312,122.5199966430664,116.58999633789062,119.83000183105469,86743700
2025-05-15,114.98999786376953,117.5,114.01000213623047,117.0199966430664,43843200
2025-05-16,117.16999816894531,118.23999786376953,116.01000213623047,118.06999969482422,43419700
2025-05-19,114.73999786376953,115.52999877929688,114.05999755859375,115.0199966430664,37737400
2025-05-20,113.51000213623047,114.51000213623047,112.08000183105469,114.3499984741211,29030800
2025-05-21,112.05999755859375,116.0999984741211,111.08999633789062,113.8499984741211,43594600
2025-05-22,110.70999908447266,112.63999938964844,110.61000061035156,111.9000015258789,29252000
2025-05-23,110.30999755859375,111.0199966430664,107.66999816894531,108.08999633789062,30867300
2025-05-27,114.55999755859375,115.4000015258789,112.2699966430664,113.18000030517578,37885000
2025-05-28,112.86000061035156,114.94999694824219,112.66000366210938,114.91999816894531,27483700
2025-05-29,113.02999877929688,115.54000091552734,112.12999725341797,115.48999786376953,30501400
2025-05-30,110.7300033569336,112.11000061035156,108.62000274658203,111.58000183105469,36088500
2025-06-02,114.62999725341797,114.86000061035156,111.01000213623047,111.05999755859375,34078400
2025-06-03,117.30999755859375,117.68000030517578,113.27999877929688,114.5,37161500
2025-06-04,118.58000183105469,119.30000305175781,115.7300033569336,117.41000366210938,31025000
2025-06-05,115.69000244140625,119.23999786376953,114.70999908447266,118.94999694824219,34091000
2025-06-06,116.19000244140625,118.37999725341797,115.87999725341797,117.69000244140625,27042100
2025-06-09,121.7300033569336,122.37000274658203,119.04000091552734,119.18000030517578,55437700
2025-06-10,123.23999786376953,124.08999633789062,120.80000305175781,121.11000061035156,41691900
2025-06-11,121.13999938964844,124.47000122070312,119.87999725341797,124.44000244140625,32261900
